,LD1,LD2,LD3,Label
7641,0.028953173,-0.106603277,0.061711233,D
7661,0.429836898,0.007988978,-0.184465175,D
7684,-0.173043511,0.049409902,-0.057312625,A
7708,0.025743665,0.131967547,-0.294290402,A
7732,-0.411504515,-0.783827852,0.455077341,A
7755,-0.403431674,-0.671833797,0.553000102,A
7774,-0.00458991,-0.037853224,0.073612448,A
7789,-0.081709266,-0.653792998,0.587300302,A
7807,-0.02431117,-0.271074176,0.019534097,A
7827,-0.202010259,-0.125860028,0.119392307,A
7844,-0.070470274,-0.00297149,-0.193398893,D
7866,0.0242391,-1.535507509,-1.111203848,A
7885,0.04496977,0.010797349,-0.129409883,A
7901,-0.265947306,-0.806839245,0.000731866,A
7923,0.160882337,-0.153977396,-0.542316624,A
7943,-0.021284348,-0.111950901,-0.419190336,A
7962,0.22498098,-0.138197867,-0.627383853,A
7980,-0.440304969,-1.073182324,0.088798322,A
7999,-0.981540832,-1.754956348,-0.166120016,A
8021,-0.173316602,-0.559365884,0.222417717,A
8042,0.097537483,-0.34528993,-0.097140886,D
8056,0.151498459,-0.33532976,-0.087887824,A
8073,-0.297579916,-1.159036794,-0.294696205,A
8092,-0.14980147,-0.483188828,0.026099587,A
8111,-0.088747101,-0.095153461,-0.001039344,A
8135,0.033593111,0.187300618,0.412606833,A
8159,0.182014607,-0.103722346,-0.457345718,A
8174,0.049036475,-0.258972432,0.026642808,D
8194,0.032235062,-0.829015255,0.020649806,A
8207,0.034245072,-0.181717516,-0.078638324,A
8219,0.060114398,0.218941527,-0.244287097,D
8233,0.007876247,-0.017444603,-0.003124068,A
8249,-0.003042398,0.008992047,0.008110937,A
8251,0.704733201,-0.108922732,0.511030857,D
8275,0.634714531,1.449920714,1.448017094,D
8299,-0.34313898,2.458261688,1.777729755,D
8323,0.001804673,0.990079643,1.779651405,D
8347,0.246240201,-2.993974923,0.335603924,D
8371,0.527266947,0.096576053,-0.248638674,D
8395,-0.990826957,-0.880150235,0.785890112,D
8419,0.441076313,1.393445688,-0.849904042,D
8443,-0.056386092,0.550375234,0.168293115,D
8467,0.324048186,0.798285967,-1.526600457,D
8491,0.888730031,2.102715555,-1.17610584,D
8515,0.772942084,4.44151037,-1.031146284,D
8539,0.616468222,1.269663911,-0.359919565,D
8563,0.469529236,0.447623913,-1.607084564,D
8587,0.729879991,1.904594209,-1.200435589,D
8611,1.059749509,1.8499305,1.385212635,D
8635,-1.118379893,0.513090417,0.374765085,D
8659,0.651444319,0.082427143,-0.210340928,D
8683,0.104702551,0.039855085,0.76442796,D
8707,-0.247044755,0.102057106,0.548327358,D
8728,1.345616503,2.546721885,1.652744769,D
8752,0.224741239,1.096901046,1.247803618,D
8776,-1.79963289,2.772882031,7.628823773,D
8800,0.127149743,0.418771405,1.116579437,D
8823,-0.074759087,0.308936415,1.322208947,D
8846,-0.1471575,1.683681785,1.515829187,D
8870,0.88574808,1.388498919,3.231495335,D
8894,0.590834087,0.844915379,0.361920704,D
8918,0.058457484,0.047978111,0.13662796,D
8942,0.106516865,-0.00966073,0.247733201,D
8963,0.28614139,0.678501326,-0.69889806,D
8986,0.105789381,0.024589025,0.012882895,D
9008,-0.067393479,0.131608351,0.546654881,D
9032,-0.20497286,0.357260106,0.703310578,D
9056,0.037126858,0.067851362,-0.033047446,D
9071,0.047171206,0.058652454,0.176695573,D
9093,0.043571971,-0.20381788,0.012980711,D
9115,0.01770582,-0.244999824,1.229732985,D
9139,0.076802499,0.076025022,-0.169067005,D
9163,0.857957677,2.021735571,-0.762162309,D
9187,-0.116630885,0.44948522,-0.767112476,D
9211,-0.276237868,0.453899521,0.632948083,D
9235,0.543550367,1.251923958,-1.623940184,D
9259,0.318240561,0.680281182,0.465232731,D
9283,0.182460499,1.598175931,-2.473944986,D
9307,0.12269174,0.057759194,0.049232325,D
9328,-0.242740885,0.333419399,0.058420814,D
9352,1.396594907,1.557808497,0.055417937,D
9376,0.321656332,0.534491366,0.149605038,D
9400,-0.162454513,1.26299065,-0.528201588,D
9424,0.299007398,0.794403243,0.349434968,D
9448,1.113195417,2.389760203,1.785363631,D
9472,0.224527727,0.296621804,-0.291888568,D
9496,0.088391249,0.01864807,0.619904534,D
9520,0.118376991,0.372301961,1.838686236,D
9544,-0.5700481,0.91533631,1.473412979,D
9568,0.408278325,1.207334623,0.754249181,D
9592,0.437644953,1.248210271,-0.00967916,D
9616,0.018461252,-0.057058526,0.220619499,D
9636,-0.070890302,-0.116128848,0.100691802,D
9658,0.511670673,-0.001677977,0.734263117,D
9682,0.266593795,0.233467109,-0.013576765,D
9706,0.036469966,0.707479425,-0.190192205,D
9730,-0.213241136,0.636802062,0.153195946,D
9754,-0.194579139,0.95403306,0.939303295,D
9778,0.728586977,1.406950687,-0.830540811,D
9802,0.074911094,0.006877635,0.731512022,D
9826,0.031404519,-0.181550615,0.205462662,D
9850,0.029235377,0.4358642,-0.3548466,D
9874,0.109401822,0.176103237,0.22568985,D
9898,-0.06696326,0.21579663,0.613135085,D
9922,0.00465709,-0.044845512,-0.006762769,D
9942,0.070217524,-0.023799025,-0.200374679,D
9961,0.074541341,-0.036037136,0.083752807,D
9980,0.06711067,0.355819813,-0.224110078,D
10004,0.052603576,0.62070629,-0.024525566,D
10028,0.214115935,0.371872613,0.567582821,D
10052,-0.25431216,0.490558666,0.381126308,D
10076,-0.040857648,0.281476139,0.239722699,D
10100,0.009292299,0.631820563,-0.230095944,D
10124,0.012218168,0.46127811,-0.334761305,D
10148,0.253199353,0.769436765,-1.017287659,D
10172,0.913005417,1.650737305,-1.567692057,D
10196,0.134876766,0.1281678,0.019717743,D
10220,0.310935047,0.335124982,-0.353405377,D
10244,1.394971519,1.221928693,-0.310459013,D
10268,0.056409565,0.03572508,-0.035782447,D
10291,0.324452996,0.144819366,0.166426114,D
10315,0.37173001,0.382771256,0.428380777,D
10335,0.062410808,0.211445445,-0.087602246,D
10359,0.153584979,0.241946758,-0.226676916,D
10383,0.117643908,0.412494614,-0.090728865,D
10407,0.724341959,1.232465004,0.106827357,D
10431,0.096165405,0.177501774,0.333338597,D
10455,0.401771777,1.08745073,-0.049085676,D
10479,0.386059161,1.117813796,-0.200644671,D
10503,0.637486654,1.476685598,1.042332724,D
10527,1.87350012,2.470823198,-2.401640699,D
10551,0.037242948,0.307806539,0.343177682,D
10570,0.049344463,0.212075692,0.256159812,D
10589,0.106473912,0.019695805,0.339410095,D
10613,0.004845114,-0.070439527,0.132089618,D
10627,1.127596863,1.58044006,-0.098223348,D
10651,0.067268285,0.305175566,-0.109404339,D
10673,-0.046308619,0.02672014,0.015788468,D
10693,-0.055010905,0.023134599,0.071529187,D
10713,0.003849912,-0.012145225,0.012405068,A
10724,0.768363457,1.734669403,0.04531993,D
10748,0.147971479,0.210676461,-0.431676131,D
10772,0.252169884,0.425623058,-0.004854046,D
10796,0.321069056,1.507213351,0.549898492,D
10820,0.266888744,0.102626603,0.590830933,D
10844,0.339028616,1.362679536,0.585290497,D
10868,0.063561519,0.380881263,0.477889684,D
10889,-0.012846162,0.045085458,0.068071915,D
10911,0.051438232,0.232552334,0.182772403,D
10930,-0.019152272,0.064600532,-0.116473015,A
10943,-0.000315111,0.008632957,-0.097474922,A
10955,-0.056620495,0.014411111,-0.100880842,A
10971,0.024540918,-0.021709791,-0.089249597,A
10983,-0.004480727,0.004470251,-0.026560268,A
10992,-0.004885679,0.018494565,-0.024110349,A
10997,-0.004013467,0.048614248,-0.042350716,A
11007,-0.007211749,0.004724675,-0.020051115,A
11010,-0.011175223,0.013764276,0.028736347,A
11013,-0.014049237,0.027026031,-0.003585729,A
11017,-0.012387945,0.01801443,0.003242515,A
11023,0.013210936,-0.011694611,0.018483864,A
11025,0.020836963,0.012338234,-0.024924862,A
11028,0.008627585,0.064164298,-0.029666163,A
11030,-0.003786944,0.056127669,0.003948777,A
11035,0.004935248,0.007440816,0.002616644,A
11039,0.000169066,0.015517258,-0.00593941,A
11041,0.000652003,0.057117554,-0.027375987,A
11046,0.014997853,-0.115278116,0.098927848,A
11065,0.020457805,-0.126108842,-0.006579428,A
11082,0.056470526,-0.045348399,0.044733405,A
11101,-0.022567153,0.009890875,0.004772635,A
11107,-0.03780093,-0.017990753,-0.021492008,A
11122,0.004313792,0.032082149,-0.014833081,A
11124,0.020009409,0.045101373,-0.069633806,A
11134,0.037576497,0.039592249,-0.09436096,A
11146,0.021886274,0.027808788,0.011640389,A
11156,0.973455857,1.719502678,-0.197836307,D
11180,1.178828514,1.296141357,-0.513936906,D
11204,0.122724874,0.412762965,-0.557162044,D
11228,0.049053385,-0.056412621,-0.012941055,D
11244,0.136242329,0.010899204,0.200249945,D
11268,0.017686254,0.015950215,0.033442847,D
11283,-0.040536857,1.1033809,0.857170628,A
11307,0.105124776,0.586847597,0.724492593,A
11331,-0.091443221,0.435976301,0.341050625,A
11352,0.375241006,0.681994897,0.400676133,A
11376,0.286947167,0.271140826,-0.047723183,A
11400,0.120125597,0.02048321,0.103473,A
11422,-0.120908734,-0.506318635,0.419713362,A
11446,-0.045336241,-0.004029286,0.053845305,A
11460,-0.050389788,0.072415397,-0.060968215,A
11478,-0.059879201,0.040730156,0.008263745,A
11502,-0.004269881,0.014527372,0.025385355,A
11505,-0.006074074,0.044258584,0.022773169,A
11506,-0.012404688,0.029663076,-0.004700177,A
11511,0.024060909,2.842846611,4.262796007,D
11535,0.561929546,0.474569186,1.362028577,D
11559,0.502050024,-0.02285043,0.493405834,D
11583,-0.084909117,0.129297062,1.013700356,D
11607,-0.085253303,0.25482609,0.334785062,D
11631,1.146303492,0.994043182,2.999954977,D
11655,0.157072636,0.288459165,-0.148783637,D
11679,0.186484246,0.104278508,0.832958126,D
11702,3.871187003,-3.070145238,0.58204828,D
11726,-0.64008558,0.334546423,-0.616836393,D
11750,0.475054713,-0.086539517,-0.756534873,D
11774,-0.075936264,0.770918182,1.0433116,D
11798,0.042743926,0.502155941,0.482168378,D
11822,1.49266698,2.023873447,1.28655858,D
11846,-1.052646128,1.261712245,1.721715333,D
11870,0.257618217,1.222571872,-0.133174893,D
11894,-0.023094,-0.167777683,1.001792744,D
11916,-0.186088043,0.358991613,0.431526663,D
11940,0.0836345,0.019249696,-0.021313798,D
11961,0.224030161,0.250093295,-0.342686569,D
11985,0.060919255,-0.048447977,0.49098161,D
12005,0.251791298,0.277585517,0.862402535,D
12029,-0.010272751,0.138641244,0.042837934,D
12050,0.270363329,0.414758042,-0.063801231,D
12074,0.325986004,0.79850145,-0.230831151,D
12098,0.625885606,0.464177183,-1.330068988,D
